aomd,lecturer,age,sex,maritalstatus,dependents,practice_yrs,rural_yn,salary_scale,primary_emp
Physician Anesthesiologist,Yes,34,Male,Single,1,5-10 years,No,U1SE - Consultant Anesthesiologist,National referral hospital (or private equivalent)
Anesthetic Officer,,44,Female,Married,9,>10 years,Yes,U4 (Med-2) - Senior Anesthetic Officer,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,30,Female,Married,3,<1 year,No,U2 (Med-2) - Medical Officer Special Grade,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,No,43,Male,Married,4,5-10 years,Yes,U2 (Med-2) - Medical Officer Special Grade,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,Yes,30,Male,Single,4,1-3 years,Yes,U2 (Med-2) - Medical Officer Special Grade,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,No,30,Female,Married,1,1-3 years,No,U2 (Med-2) - Medical Officer Special Grade,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,30,Female,Single,0,1-3 years,No,U2 (Med-1) - Medical Officer Special Grade,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,No,30,Male,Single,2,1-3 years,No,U2 (Med-2) - Medical Officer Special Grade,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,30,Male,Single,0,1-3 years,No,U2 (Med-1) - Medical Officer Special Grade,National referral hospital (or private equivalent)
Physician Anesthesiologist,Yes,35,Male,Single,0,5-10 years,No,U1SE - Consultant Anesthesiologist,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,38,Female,Married,5,<1 year,No,U1SE - Consultant Anesthesiologist,National referral hospital (or private equivalent)
Physician Anesthesiologist,Yes,33,Female,Single,0,5-10 years,No,U1SE - Consultant Anesthesiologist,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,32,Male,Married,2,3-5 years,No,U1SE - Consultant Anesthesiologist,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,No,32,Female,Single,4,1-3 years,No,U2 (Med-1) - Medical Officer Special Grade,National referral hospital (or private equivalent)
Physician Anesthesiologist,No,32,Male,"Cohabiting (living with a partner, but not married)",7,3-5 years,Yes,U2 (Med-2) - Medical Officer Special Grade,Regional referral hospital (or private equivalent)
Physician Anesthesiologist,Yes,42,Male,Married,2,>10 years,No,U1SE - Consultant Anesthesiologist,National referral hospital (or private equivalent)
