"Record ID","Survey Identifier","Survey Timestamp","What is your age?","What is your sex?","What is your marital status?","Do you work in a rural area (i.e. upcountry)?","What is your job in the hospital?","How many  years since you finished training?","How many institutions do you have clinical jobs at?","Do you have an anesthesia job working for the government?","Do you get money from any work outside the hospital? (e.g. research work, private business, or other non-clinical jobs)","Is the amount of money you make sufficient for your expenses?","Where is your government job?","If other, where is it?","Is this a teaching institution?","Is this your primary job?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your salary scale?","What is your average monthly pay from this job?","Where is your non-government job?","If other, what is your non-government job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","Where is this job?","If other, what is this job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","Where is this job?","If other, what is this job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","What is your work outside of anesthesia? (e.g. research work, private business, or other non-clinical jobs)","On average, how many HOURS per week do you spend on this work?","What is your average monthly pay from your work outside the hospital?","On average, how much do you make, in TOTAL, from ALL sources each month (including hospital work, non-hospital work, gifts, and any other work we haven't asked about)?",Transportation,Food,Accomodation,"Estimate the total monetary value of your allowances",Complete?
1,,"2018-11-28 22:36:37",40,Male,Married,No,"Physician anesthesiologist",4,2,Yes,Yes,No,"Government hospital",,No,Yes,3,,"3.75 Gross","3-6 million","Private, for profit hospital",,No,3,,"3-6 million",,,,,,,,,,,,,"non clinical","5-10 hours","1-2 million","6-9 million",No,No,No,"0-100,000",Complete
2,,"2018-11-29 00:32:50",31,Female,Single,No,"Physician anesthesiologist",4,2,No,Yes,Yes,,,,,,,,,"Private, for profit hospital",,No,1,,"3-6 million","Private, for profit hospital",,No,1,,"3-6 million",,,,,,,"research work","10-20 hours","2-3 million","11-13 million",No,No,No,"0-100,000",Complete
3,,"2018-11-29 01:02:21",32,Female,Single,No,"Physician anesthesiologist",2,2,Yes,No,No,"Teaching hospital",,Yes,Yes,5,,U2,"1-2 million","Teaching hospital",,Yes,2,,"2-3 million",,,,,,,,,,,,,,,,"2-3 million",Yes,Yes,No,"0-100,000",Complete
4,,"2018-11-29 01:29:14",31,Female,Married,No,"Physician anesthesiologist",2,3,No,No,No,,,,,,,,,"Private, not for profit hospital",,Yes,4,,"1-2 million","Private, for profit hospital",,No,2,,"1-2 million","Private, for profit hospital",,No,1,,"1-2 million",,,,"3-6 million",No,Yes,Yes,"250,000-500,000",Complete
5,,"2018-11-29 01:34:46",31,Male,Single,No,"Physician anesthesiologist",3,2,Yes,Yes,No,"Government hospital",,Yes,Yes,5,,U2,"2-3 million","Private, for profit hospital",,Yes,1,,"1-2 million",,,,,,,,,,,,,"Private business","0-5 hours","0-500,000","3-6 million",Yes,Yes,No,"250,000-500,000",Complete
6,,"2018-11-29 01:55:20",60,Male,Married,No,"Physician anesthesiologist",25,1,Yes,No,No,"Teaching hospital",,Yes,No,5,,U1,"2-3 million",,,,,,,,,,,,,,,,,,,,,,"0-500,000",Yes,No,No,"500,000-1,000,000",Complete
7,,"2018-11-29 02:10:44",31,Male,Married,Yes,"Physician anesthesiologist",1,1,No,No,No,,,,,,,,,"Teaching hospital",,Yes,3,,"3-6 million",,,,,,,,,,,,,,,,"3-6 million",No,No,Yes,"0-100,000",Complete
8,,"2018-11-29 04:43:40",29,Male,Single,No,"Physician anesthesiologist",1,3,Yes,Yes,Yes,"Teaching hospital",,Yes,Yes,4,,U2,"2-3 million","Private, not for profit hospital",,Yes,2,,"2-3 million","Private, for profit hospital",,No,1,,"1-2 million",,,,,,,"Non clinical","30-40 hours","3-6 million","9-11 million",No,No,No,"0-100,000",Complete
9,,"2018-11-29 04:52:54",29,Female,Single,No,"Physician anesthesiologist",1,1,No,Yes,No,,,,,,,,,"Private, for profit hospital",,No,2,,"2-3 million",,,,,,,,,,,,,"Research work","5-10 hours","500,000 - 1,000,000","3-6 million",No,No,No,"0-100,000",Complete
10,,"2018-11-29 04:56:15",37,Male,"Co-habitating (living with partner but not married)",No,"Physician anesthesiologist",6,2,Yes,Yes,No,"Teaching hospital",,Yes,Yes,3,,M6,"3-6 million","Private, for profit hospital",,No,2,,"6-9 million",,,,,,,,,,,,,"Research work","0-5 hours","500,000 - 1,000,000","11-13 million",No,No,No,,Complete
11,,"2018-11-29 05:15:58",34,Male,Single,No,"Physician anesthesiologist",5,2,Yes,Yes,No,"Teaching hospital",,Yes,Yes,3,,M6.2,"6-9 million","Private, for profit hospital",,Yes,1,,"2-3 million",,,,,,,,,,,,,None,"0-5 hours","0-500,000","6-9 million",No,No,No,"0-100,000",Complete
12,,"2018-11-29 06:07:50",36,Female,Married,No,"Physician anesthesiologist",6,1,Yes,No,No,"Teaching hospital",,Yes,Yes,2,,U2,"2-3 million",,,,,,,,,,,,,,,,,,,,,,"2-3 million",Yes,Yes,No,"100,000-250,000",Complete
